acc_x_1,acc_y_1,acc_z_1,acc_x_2,acc_y_2,acc_z_2,acc_x_3,acc_y_3,acc_z_3,acc_x_4,acc_y_4,acc_z_4,acc_x_5,acc_y_5,acc_z_5,acc_x_6,acc_y_6,acc_z_6
16202,16118,48820,16242,16032,48468,16236,15120,48819,16237,15948,48808,16034,48334,16236,49005,48765,48779
16203,16122,48823,16243,16037,48483,16239,15504,48820,16238,15967,48813,16041,48368,16237,49007,48763,48775
16205,16128,48831,16244,16042,48502,16241,15396,48819,16241,15957,48810,16029,48433,16241,49007,48758,48760
16202,16122,48819,16244,16030,48465,16239,48260,48821,16242,15919,48803,16011,48278,16233,49002,48763,48788
16122,16017,48788,16260,16105,48600,16274,48326,48824,16273,15958,48789,16128,48408,16226,49011,48707,48783
16184,16136,49028,16210,16149,48912,16249,16102,48937,16218,16014,48871,16135,16128,16138,49005,48682,48806
16186,16067,48970,16236,16036,48902,16209,15897,48935,16236,15915,48809,16161,15994,16196,48999,48737,48811
16264,16035,48917,16272,16082,48975,16273,48906,48960,16307,15661,48896,16089,15745,16197,48992,48771,48784
16153,16163,48944,16217,16175,48807,16228,16009,48937,16186,16075,48956,16129,48812,16226,49005,48408,48752
16266,15945,48904,16282,48801,48853,16240,48989,48992,16285,48901,48753,16086,16139,16119,49025,48753,48934
15935,15849,48903,16289,48821,15918,16306,48825,48852,16301,16100,49027,15965,16053,15995,48989,48586,48651
49111,48948,48990,48908,16305,49006,16041,16415,49032,15496,16372,49142,15921,16386,48443,49062,15879,48678
16057,48713,48863,48757,48977,48370,48781,49114,48801,16198,48989,16050,16111,48933,16326,49047,48748,15767
48539,48918,48824,16220,48782,48675,16330,16272,48967,16144,16233,49067,16132,16213,48919,49025,16026,48902
16308,16088,48955,16331,16226,48987,16319,16091,49027,16311,16127,48939,15786,15953,16221,49032,48870,15633
16176,16122,48910,16247,16007,48615,16189,48662,48947,16218,48560,48948,16093,48903,16200,48979,15857,48605
16246,16111,49012,16287,16266,49017,16303,16161,49024,16302,16195,48976,15416,16026,16140,49036,48825,15759
16135,16131,48928,16211,16098,48747,16171,15890,48927,16146,15674,48956,16096,48884,16189,48986,15782,48666
16403,16288,48958,16387,16385,48960,16337,48905,49014,16381,48848,48840,16201,15995,16186,49012,48812,48862
16236,15972,48730,16340,16098,48258,16342,16152,49015,16142,15852,49039,48720,48890,16138,48992,48374,48833
16208,16156,48875,16273,15946,15590,16317,15841,48941,16264,16136,48945,16031,15910,16136,49014,48817,48678
16037,15914,49009,16107,16137,48968,15888,15948,48977,16151,48735,48882,16188,48829,16159,49036,48453,15806
16180,16064,48927,16239,15967,48833,16203,15858,48951,16219,48358,48924,15932,48951,16223,48985,48687,15954
16231,48888,48888,16136,48957,48911,48947,49129,49025,16132,49156,16135,16142,49127,16334,48999,15845,15912
16106,48592,48962,16131,15913,48955,16039,15488,48982,16087,48856,48970,15040,49043,16037,48873,15879,16233
16134,48954,48862,16145,48797,48999,15974,48864,48996,16099,48942,48869,48989,48864,48661,48940,48571,16203
16090,48907,48891,16073,48877,48950,48680,48900,48995,16089,49030,48849,48837,49036,15963,48784,15815,16256
16244,49028,15853,16171,49002,48888,15698,48992,48944,16152,48967,48651,48891,48969,16169,48797,48532,16240
49080,49140,48855,48904,49161,48802,48822,49106,48935,16195,49037,48661,48723,48750,48996,48711,16123,16293
16256,48897,48774,15558,49051,48852,48879,49057,48897,15854,49038,15905,48887,48999,16234,48877,48820,16199
48808,49059,48931,48953,49004,49020,48941,48677,48924,48701,48962,48868,48885,48915,48937,48807,16006,16278
16387,48708,48779,16181,48922,48978,49015,49140,48946,16027,49135,15976,48807,49098,16302,48896,48841,16169
16110,48994,48803,15320,48972,48967,48839,48799,48971,48819,48956,48879,48957,48927,48322,48808,15758,16242
16125,49040,48674,48779,49030,48932,48854,49063,48937,16129,49056,15572,48966,48991,16112,48823,48734,16210
16036,48992,48741,48527,48951,48936,48838,48919,48887,15344,48968,48628,48997,48950,48640,48839,15675,16229
15960,48931,48867,15828,48913,48951,48904,48894,48926,15802,49001,48584,48924,48944,15639,48900,48731,16231
16299,15875,48879,16285,16095,48988,16123,48954,48974,16209,49084,48442,48891,48951,48769,48771,48652,16257
15944,48984,48623,48572,49029,48901,48915,49024,48916,15902,49064,15770,48943,48995,16028,48806,48659,16212
16014,48953,48916,15809,48853,48998,48906,48772,48955,48505,48999,48778,48915,48989,15786,48903,15360,16242
16030,48978,48699,16156,48262,48989,48364,48354,48992,15937,48934,48858,48991,48869,48896,48878,48682,16215
16227,49009,48654,16125,48989,48947,48722,48991,48948,15946,49018,48530,48990,48910,16079,48923,48775,16204
15981,49005,48852,48540,48922,48960,48914,48797,48937,48282,48999,48774,48768,48983,48469,48813,15922,16259
16079,48974,48729,15875,48962,48913,48785,48913,48925,15974,48973,48664,48923,48930,15874,48844,48676,16222
16215,49039,15556,16139,49031,48916,48342,49030,48960,16135,49021,48649,48905,48922,16044,48900,48617,16216
48188,48845,48946,15723,48758,48980,48879,48644,48951,48408,48970,48816,48887,49005,48489,48813,15838,16259
48888,49124,15809,48991,49067,48881,49081,49148,48743,48644,49090,16083,48695,49158,16375,48796,15848,16243
16054,49045,48519,15836,49051,48876,48914,49048,48896,15896,49089,16000,48792,49071,16269,48903,48771,16238
16090,48942,48925,48467,48777,49026,48940,48517,48968,48776,48992,48817,48901,48998,48694,48857,16022,16260
16024,49001,48803,48845,48966,48942,48991,49046,48890,48557,49074,15972,48900,48982,16100,48810,15657,16225
16288,48960,48748,16226,48976,48969,48491,49032,49008,16128,49053,48611,48959,48819,16119,48943,48827,16174
16038,49001,48859,15813,48928,48963,48868,48863,48966,15868,49012,48798,48857,48982,48463,48819,15922,16249
16175,48900,48847,16039,48856,48958,48836,48901,48961,15850,49026,48725,48926,48979,15992,48857,48563,16223
16121,49045,48689,48579,49044,48913,48946,49043,48909,15704,49066,16010,48959,49034,16253,48919,48710,16220
15971,48970,48914,48088,48873,48978,48867,48675,48950,48332,48958,48860,48747,48994,48438,48863,15958,16263
16136,48963,48777,16016,48948,48921,48721,48932,48945,16025,49006,48683,48920,48945,16056,48860,48698,16220
16173,48952,48830,16146,48950,48956,48294,48971,48986,16130,49031,48705,48916,48857,15989,48923,48786,16211
16041,48896,48924,15978,48776,48971,48730,48698,48977,15955,48942,48916,48655,49027,15570,48823,15985,16261
16133,48913,48858,15835,48818,48956,48868,48925,48917,48048,49019,48532,48855,48897,15920,48903,48676,16234
16106,48918,48959,16130,48899,49012,48831,48907,49024,16033,49052,48818,48959,49016,16124,48935,48666,16203
48320,48796,48968,15625,48702,48969,48769,48963,48961,15993,48991,48800,48994,49060,16265,48786,15771,16185
16343,48521,48751,16206,15876,48921,15994,48719,48982,16076,48972,48282,48835,49093,16315,48984,48751,16046
16461,16411,49063,16477,16466,49091,16459,16168,49110,16385,48702,48937,48776,16244,48980,48890,48939,15691
48775,48991,48689,16119,48952,48454,16267,15797,48918,16161,16154,48936,16044,16136,16113,49051,48685,48740
16176,16248,48734,16269,16104,15898,16281,16025,48814,16254,16123,48892,16087,48660,16237,48941,48773,48827
16136,16163,48829,16204,16122,48480,16229,15894,48747,16220,16084,48686,16137,16164,16138,48987,48816,48745
16112,16278,48842,16182,16280,15797,16264,16188,15899,16132,16255,48778,16045,15926,16247,48977,48839,48876
16211,16202,48284,16263,16047,16027,16280,15424,48702,16261,16095,48736,16138,15914,16215,48963,48823,48851
16185,16157,48842,16242,16115,48685,16261,15822,48862,16268,16038,48832,16208,16137,16112,48982,48819,48904
16174,16177,48752,16258,16041,15436,16262,15910,48834,16249,16008,48816,16047,15835,16239,48960,48885,48832
16054,16260,48844,16202,16238,15594,16257,16171,48773,16125,16216,48966,16203,48570,16194,49003,48412,48809
16180,16124,48774,16206,16021,48514,16221,15296,48853,16215,16069,48898,16169,48258,16202,48998,48762,48834
16332,15853,48395,16300,48626,48709,16275,48957,48924,16317,48794,48556,16171,16158,16198,49037,48917,48856
16113,16217,48882,16197,16197,48572,16193,16101,48891,16132,16072,48973,16206,48746,16173,48995,15661,48960
16102,16239,48949,16344,16226,48901,16331,16384,49079,16255,16338,49093,49135,16290,49034,48999,48894,48771
16331,16254,48360,15933,16163,48666,48771,48868,48384,16154,15696,15963,16134,49027,16385,48965,48744,48690
16050,16173,48906,16038,16144,48713,16270,16020,48810,16242,16146,48914,16103,15907,16170,48984,48690,48839
16273,16307,48889,16005,16101,48619,16026,48786,15624,16151,48260,15957,48790,48805,16342,48934,48916,48764
