acc_x_1,acc_y_1,acc_z_1,acc_x_2,acc_y_2,acc_z_2,acc_x_3,acc_y_3,acc_z_3,acc_x_4,acc_y_4,acc_z_4,acc_x_5,acc_y_5,acc_z_5,acc_x_6,acc_y_6,acc_z_6
16147,48867,16133,16089,48911,16164,16014,48919,16163,15899,48891,16222,48976,15608,16108,48802,48310,16242
16187,48831,16132,16135,48898,16155,16054,48940,16166,15954,48825,16185,48965,15745,16126,48837,48502,16230
16168,48801,16121,16140,48903,16150,16070,48945,16141,15986,48913,16212,48975,15688,16141,48828,48482,16233
16174,48866,16144,16132,48929,16151,16046,48963,16137,15922,48927,16201,48995,15512,16130,48805,48328,16241
16180,48894,16141,16124,48941,16152,16016,48972,16143,15885,48933,16211,48979,15712,16092,48805,48294,16241
16179,48868,16111,16110,48916,16137,16014,48946,16137,15851,48909,16204,48989,15629,16116,48802,48304,16244
16184,48899,16135,16113,48902,16139,16023,48904,16127,15666,48861,16202,49001,15544,16103,48800,48298,16252
16185,48903,16147,16108,48945,16188,16003,48970,16184,15779,48896,16221,48992,48362,16103,48791,15232,16245
16161,48828,16146,16124,48904,16158,16007,48946,16165,15792,48922,16239,48992,48445,16101,48780,15416,16249
16159,48835,16168,16091,48913,16175,16007,48952,16169,15753,48926,16228,49009,48566,16112,48743,15544,16254
16158,48845,16187,16108,48909,16179,16004,48944,16167,15588,48907,16208,49001,48530,16065,48681,15444,16254
16126,48815,16175,16053,48905,16180,15928,48949,16170,48515,48916,16199,49026,48640,16058,48442,15400,16249
16085,48865,16188,15990,48924,16195,15712,48953,16180,48646,48930,16208,49012,48536,16014,48494,15628,16247
16066,48891,16202,16000,48930,16199,15768,48953,16179,48534,48926,16201,49004,48598,16012,48400,15629,16255
16044,48918,16213,15855,48947,16209,48463,48959,16190,48774,48929,16212,49013,48514,15981,48512,15652,16255
16091,48877,16195,15993,48927,16191,15681,48955,16178,48687,48937,16212,49018,48618,16014,48268,15637,16251
16111,48857,16192,16009,48923,16191,15746,48951,16180,48638,48918,16206,49013,48545,16010,48458,15646,16252
16072,48826,16190,15949,48907,16193,15576,48930,16182,48704,48901,16211,49010,48534,16010,48304,15622,16258
16017,48861,16201,15826,48924,16209,48487,48933,16193,48736,48897,16214,49012,48552,15978,48407,15622,16263
16119,48854,16218,15931,48936,16219,15659,48949,16199,48656,48903,16215,49001,48691,16037,48615,15657,16265
16103,48831,16219,15933,48906,16200,15770,48926,16187,48690,48892,16213,49003,48688,16061,48611,15412,16256
16043,48669,16133,15802,48792,16153,48518,48819,16165,48813,48787,16192,49040,48708,16114,48407,15304,16256
16221,48907,16257,16149,48947,16250,16077,48963,16206,16003,48872,16231,48921,48447,16099,48902,48152,16232
16195,48826,16146,16146,48876,16165,16095,48916,16164,16001,48789,16208,48922,15751,16164,48925,48424,16203
