    bee9    beb8    bf78    3dbe    3f21    3e3d    3f3f    3a8b    3cd1
    bee0    be95    bf55    3dbe    3f21    3e3d    3f3f    3b8b    bd2a
    bec7    be9b    bf5e    3dbe    3f21    3e3d    3f3f    bca5    3b8b
    bedb    be97    bf65    3dbe    3f21    3e3d    3f3f    0000    3c8b
    bedc    bea0    bf51    3dbe    3f21    3e3d    3f3f    bcc8    bd5e
    bef4    bea3    bf78    3dbe    3f21    3e3d    3f3f    bcc8    3d59
    bec6    be8a    bf4f    3dbe    3f21    3e3d    3f3f    bc62    bc3f
    beeb    be9d    bf64    3dbe    3f21    3e3d    3f3f    bcc8    bd18
    beee    beaa    bf6d    3dbe    3f21    3e3d    3f3f    3b0b    3c9c
    bec0    be97    bf58    3dbe    3f21    3e3d    3f3f    ba8b    3d1c
    bef0    bea0    bf66    3dbe    3f21    3e3d    3f3f    bb51    bca5
    becf    be95    bf50    3dbe    3f21    3e3d    3f3f    bc8b    bcf4
    bedd    bea1    bf65    3dbe    3f21    3e3d    3f3f    bc51    3cb7
    bed7    bea1    bf59    3dbe    3f21    3e3d    3f3f    3c3f    bb0b
    bed9    be9f    bf5d    3dbe    3f21    3e3d    3f3f    bc0b    bbd1
    bede    bea9    bf63    3dbe    3f21    3e3d    3f3f    3c82    3c2e
    bec7    be9a    bf53    3dbe    3f21    3e3d    3f3f    3c1c    bbae
    bee4    bea4    bf62    3dbe    3f21    3e3d    3f3f    bbae    bb0b
    bed2    be9e    bf58    3dbe    3f21    3e3d    3f3f    3c3f    bb8b
    bed1    be9d    bf5b    3dbe    3f21    3e3d    3f3f    bb51    3b8b
    bee3    bea3    bf61    3dbe    3f21    3e3d    3f3f    3b0b    3a8b
    bed8    be9e    bf5a    3dbe    3f21    3e3d    3f3f    bbae    bc51
    bede    bea1    bf60    3dbe    3f21    3e3d    3f3f    bb51    ba8b
    bed9    bea0    bf5c    3dbe    3f21    3e3d    3f3f    3bd1    3a8b
    bedf    bea2    bf60    3dbe    3f21    3e3d    3f3f    bc51    bc1c
    bed3    be9f    bf5d    3dbe    3f21    3e3d    3f3f    3c1c    3bf4
    bed7    bea2    bf5c    3dbe    3f21    3e3d    3f3f    3b51    bb0b
    bed8    bea2    bf5e    3dbe    3f21    3e3d    3f3f    bbae    3b0b
    bed5    bea1    bf5b    3dbe    3f21    3e3d    3f3f    3c2e    3b8b
    bedf    bea1    bf60    3dbe    3f21    3e3d    3f3f    bc2e    bbd1
    bed4    bea0    bf5e    3dbe    3f21    3e3d    3f3f    3bae    3c51
    bedb    bea2    bf5e    3dbe    3f21    3e3d    3f3f    3b0b    bb51
    bedc    be9f    bf5e    3dbe    3f21    3e3d    3f3f    bc0b    bc3f
    beda    bea1    bf5e    3dbe    3f21    3e3d    3f3f    3b8b    3b0b
    bedf    bea1    bf5f    3dbe    3f21    3e3d    3f3f    bbf4    bbf4
    bed7    bea0    bf5e    3dbe    3f21    3e3d    3f3f    3b0b    0000
